ts_sec,open,high,low,close,volume
1776369600,90.06,90.58,88.68,89.03,4784367.66
1776384000,89.02,89.15,87.43,87.67,3178328.32
1776398400,87.67,88.44,87.3,88.09,2841488.05
1776412800,88.1,89.48,87.26,88.15,5431457.29
1776427200,88.16,90.71,87.85,89.91,10142910.04
1776441600,89.91,90.58,88.84,89.18,4425060.16
1776456000,89.17,89.43,88.42,88.71,2333233.59
1776470400,88.71,89.11,88.17,88.27,1478313.94
1776484800,88.27,88.6,88.1,88.39,1590423.57
1776499200,88.4,88.45,86.22,86.49,5010392.52
1776513600,86.48,86.92,86.35,86.7,2359503.07
1776528000,86.7,86.93,85.71,86.07,2700245.56
1776542400,86.06,86.42,85.86,86.11,1163994.66
1776556800,86.1,86.33,85.18,85.55,2106109.66
1776571200,85.55,85.92,84.28,84.82,3290617.11
1776585600,84.81,85.67,84.38,85.54,2635919.01
1776600000,85.55,87.08,85.49,86.32,5268851.24
1776614400,86.31,86.46,84.82,85.28,2952743.93
1776628800,85.27,85.31,82.77,83.41,4774513.45
1776643200,83.42,84.58,83.27,84.53,2530925.14
1776657600,84.53,85.74,83.7,84.69,3437664.85
1776672000,84.7,85.37,84.51,85.0,2494045.31
1776686400,85.01,85.85,84.35,85.82,5571629.21
1776700800,85.82,86.19,85.21,85.75,3377435.62
1776715200,85.75,86.18,85.17,85.24,1919462.05
1776729600,85.25,85.79,84.95,85.14,1961318.95
1776744000,85.13,85.93,84.97,85.65,2368295.52
1776758400,85.66,86.47,85.46,85.79,2373738.3
1776772800,85.79,86.87,85.12,86.0,4868293.46
1776787200,86.0,86.24,84.26,84.53,4569660.19
1776801600,84.52,86.11,84.4,86.0,2546719.65
1776816000,86.01,87.86,85.97,87.21,4131981.91
1776830400,87.22,88.33,86.93,88.04,4445293.86
1776844800,88.04,88.88,87.57,88.29,3003423.61
1776859200,88.29,89.29,87.98,88.13,5351588.4
1776873600,88.12,88.42,87.05,87.34,3400879.94
1776888000,87.34,87.69,86.75,86.83,1567852.09
1776902400,86.83,87.11,85.42,85.72,3975017.23
1776916800,85.73,86.18,85.45,85.85,2589465.09
1776931200,85.85,85.89,85.13,85.76,2662434.79
1776945600,85.76,86.61,85.5,86.3,4370385.61
1776960000,86.31,86.38,84.42,85.24,5438047.19
1776974400,85.23,86.21,85.22,86.08,1839097.92
1776988800,86.08,86.32,85.33,85.63,1917022.0
1777003200,85.64,85.79,85.1,85.45,2342688.2
1777017600,85.45,86.24,84.79,86.14,3079436.27
1777032000,86.14,86.75,85.46,86.46,4173946.89
1777046400,86.47,86.56,85.87,86.29,1916355.06
1777060800,86.28,86.92,86.02,86.13,2001064.78
1777075200,86.13,86.45,85.98,86.42,717522.66
1777089600,86.41,86.63,86.07,86.31,1182500.76
1777104000,86.31,86.77,86.19,86.3,1449855.63
1777118400,86.3,86.63,86.08,86.17,1165618.57
1777132800,86.18,86.27,85.48,85.62,2022759.88
1777147200,85.63,86.13,85.55,86.13,860693.59
1777161600,86.13,86.44,85.78,85.94,1306989.58
1777176000,85.94,86.7,85.89,86.59,1771063.58
1777190400,86.59,86.73,86.38,86.46,896023.62
1777204800,86.45,86.54,85.83,86.5,2202797.03
1777219200,86.5,87.42,86.22,86.84,2280117.45
1777233600,86.84,87.29,86.06,86.87,2677304.36
1777248000,86.88,88.08,86.5,87.69,3859689.47
1777262400,87.69,87.81,85.2,85.21,5585929.09
1777276800,85.21,85.58,84.94,85.19,3205106.28
1777291200,85.19,85.81,83.56,84.09,6154267.82
1777305600,84.1,84.66,83.76,84.12,2786022.27
1777320000,84.11,84.88,84.04,84.78,1256006.55
1777334400,84.78,84.89,83.85,84.12,1689031.86
1777348800,84.13,84.42,83.58,83.96,2576582.39
1777363200,83.96,84.15,83.21,83.36,1785799.15
1777377600,83.35,84.04,82.91,83.43,3641220.07
1777392000,83.42,83.99,83.27,83.85,1804259.8
1777406400,83.85,84.15,83.53,84.02,1705013.3
1777420800,84.02,84.71,83.75,84.55,2339381.0
1777435200,84.54,85.04,84.39,84.66,2675402.67
1777449600,84.67,85.53,84.3,84.87,3623466.08
1777464000,84.87,84.87,82.91,83.2,5886939.49
1777478400,83.2,83.59,81.31,82.13,7155037.23
1777492800,82.13,83.2,82.09,83.01,2699689.92
1777507200,83.02,83.99,82.64,83.02,3249933.26
1777521600,83.02,83.36,82.1,83.32,2160348.07
1777536000,83.31,83.55,82.75,82.98,1834897.08
1777550400,82.97,83.8,82.63,83.3,3149571.46
1777564800,83.3,83.4,82.82,82.99,1505610.72
1777579200,82.99,83.16,82.74,83.04,762494.95
1777593600,83.04,84.37,83.02,83.85,2428538.65
1777608000,83.85,84.2,83.62,83.9,2221610.57
1777622400,83.91,84.28,83.67,83.98,1531444.87
1777636800,83.97,84.82,83.81,84.42,4247595.81
1777651200,84.42,84.6,83.75,83.86,2069694.26
1777665600,83.85,83.9,83.28,83.7,1638390.45
1777680000,83.7,84.16,83.39,83.76,1638101.39
1777694400,83.76,83.82,83.48,83.67,928565.43
1777708800,83.68,84.11,83.47,83.64,1225612.06
1777723200,83.64,84.05,83.62,83.99,1514428.38
1777737600,83.99,84.28,83.89,84.19,1005885.31
1777752000,84.18,84.96,84.01,84.23,2015421.96
1777766400,84.23,84.27,83.53,83.61,1791692.77
1777780800,83.61,83.97,83.52,83.82,1185320.05
1777795200,83.83,84.16,83.68,83.9,1442703.46
1777809600,83.91,84.41,83.91,84.12,1287085.0
1777824000,84.11,84.47,83.95,84.34,1000543.28
1777838400,84.33,84.95,83.8,83.87,2896654.1
1777852800,83.86,85.62,83.29,85.38,6981172.85
1777867200,85.38,85.88,84.46,84.84,4528941.22
1777881600,84.84,85.16,83.18,83.9,5510397.6
1777896000,83.9,85.3,83.51,84.45,5924771.54
1777910400,84.45,85.17,83.93,84.43,3369467.36
1777924800,84.42,84.52,83.96,84.05,1541991.89
1777939200,84.05,84.94,83.98,84.73,2072945.54
1777953600,84.72,85.1,84.52,84.83,2784292.52
1777968000,84.83,84.97,84.39,84.93,1729098.48
1777982400,84.93,86.08,84.86,85.47,6075885.79
1777996800,85.46,86.53,85.01,86.47,3363085.17
1778011200,86.46,86.96,86.12,86.24,3330539.61
1778025600,86.24,87.44,86.06,87.29,3215633.44
1778040000,87.28,87.87,86.61,87.65,3165034.62
1778054400,87.66,90.13,87.6,89.83,6329872.26
1778068800,89.84,89.94,87.43,88.92,7231512.55
1778083200,88.91,89.48,88.42,89.21,3442420.52
1778097600,89.21,89.58,88.61,89.1,2008443.36
1778112000,89.11,89.23,87.47,87.72,3427141.28
1778126400,87.72,90.4,87.64,90.12,4702271.27
1778140800,90.12,90.23,88.66,89.5,3925571.92
1778155200,89.5,90.06,87.75,88.28,6445250.59
1778169600,88.27,89.02,87.91,88.41,3925674.0
1778184000,88.41,88.82,87.61,88.4,2379906.6
1778198400,88.4,88.61,87.56,88.17,2182797.42
1778212800,88.17,88.39,87.6,88.2,2337820.16
1778227200,88.2,88.73,87.96,88.59,2507432.02
1778241600,88.59,89.56,87.95,89.55,4412932.49
1778256000,89.55,92.78,89.29,92.56,7929103.35
1778270400,92.57,92.68,91.71,91.97,2731073.81
1778284800,91.96,93.8,91.8,93.59,3998075.69
1778299200,93.58,94.16,92.78,93.71,4227438.92
1778313600,93.71,93.91,92.97,93.56,2017522.89
1778328000,93.57,93.7,92.32,92.94,2948032.38
1778342400,92.95,93.6,92.62,93.45,2461139.97
1778356800,93.46,93.5,92.99,93.07,780757.0
1778371200,93.06,93.46,92.54,93.37,1977182.64
1778385600,93.36,93.59,93.18,93.39,1152266.41
1778400000,93.39,94.78,92.78,93.48,4849804.8
1778414400,93.49,94.7,93.12,94.48,3491503.92
1778428800,94.49,96.88,94.12,96.45,6975343.45
1778443200,96.44,96.83,93.37,96.42,6835011.95
1778457600,96.42,96.63,94.41,94.72,5492145.32
1778472000,94.72,96.12,94.37,95.29,2957871.32
1778486400,95.29,95.55,94.52,95.21,2761781.6
1778500800,95.22,96.78,94.25,96.76,8297828.82
1778515200,96.77,98.36,96.44,98.13,6620683.23
1778529600,98.13,98.34,97.03,97.31,2101048.79
1778544000,97.32,97.63,95.47,96.09,3987697.34
1778558400,96.09,96.96,95.74,95.98,2707688.44
1778572800,95.98,96.09,94.52,94.92,4740883.81
1778587200,94.92,95.52,93.56,93.82,6833288.94
1778601600,93.82,94.97,93.55,94.88,3136855.49
1778616000,94.89,95.02,94.16,94.25,1209992.97
1778630400,94.25,95.54,94.0,95.52,2367121.88
1778644800,95.52,95.97,94.82,95.09,2661904.78
1778659200,95.09,95.84,94.18,94.27,3177216.09
1778673600,94.27,94.58,90.2,90.37,13075748.36
1778688000,90.38,91.36,90.34,90.9,5443663.28
1778702400,90.9,91.29,90.57,91.11,3886696.67
1778716800,91.11,91.38,89.73,89.89,6722771.75
1778731200,89.89,91.65,89.81,90.83,5331369.56
1778745600,90.83,91.26,90.52,90.58,1767062.86
1778760000,90.58,93.21,90.46,93.1,5572571.64
1778774400,93.11,93.64,92.24,92.85,5844373.38
1778788800,92.86,92.95,92.07,92.11,1662974.12
1778803200,92.11,92.62,91.41,92.0,3511275.86
1778817600,92.0,92.0,90.21,91.56,4421667.31
1778832000,91.57,91.61,90.87,91.21,2548438.02
1778846400,91.21,91.23,88.47,89.0,7192933.0
1778860800,89.01,90.07,88.75,89.36,2704878.41
1778875200,89.36,89.48,88.92,89.2,1104007.79
1778889600,89.19,89.42,88.9,89.01,1190867.89
1778904000,89.0,89.04,86.62,87.42,4688461.04
1778918400,87.41,87.58,85.44,86.04,5517099.64
1778932800,86.04,86.67,85.94,86.42,2291261.37
1778947200,86.42,86.92,86.3,86.65,1477375.74
1778961600,86.64,86.85,86.38,86.48,659000.64
1778976000,86.48,86.68,85.51,86.46,2636194.31
1778990400,86.47,87.25,86.41,86.92,1653396.62
1779004800,86.92,87.22,86.51,86.84,2173727.35
1779019200,86.84,86.97,85.89,86.39,2020619.04
1779033600,86.4,86.9,85.94,86.74,1431937.37
1779048000,86.75,86.92,83.31,85.17,4951578.85
1779062400,85.18,85.43,84.31,84.79,3864952.11
1779076800,84.79,85.33,84.21,84.7,3176003.68
1779091200,84.71,85.28,84.02,84.93,2494286.52
1779105600,84.93,85.75,83.55,84.17,5708274.91
1779120000,84.18,85.2,83.43,84.95,3884839.37
1779134400,84.96,85.74,84.73,85.34,1848272.29
1779148800,85.34,85.94,84.55,85.03,1843967.58
1779163200,85.03,85.59,84.41,85.43,2113151.13
1779177600,85.44,85.55,84.21,84.32,2383657.84
1779192000,84.32,85.07,83.62,84.33,3228949.24
1779206400,84.33,85.0,84.09,84.3,1671586.69
1779220800,84.3,84.62,83.93,84.24,1067692.65
1779235200,84.25,84.5,83.79,84.05,1717881.36
1779249600,84.06,85.09,83.83,84.71,1873608.07
1779264000,84.71,85.16,84.52,84.65,1274812.97
1779278400,84.65,86.24,84.11,85.89,6221987.89
1779292800,85.89,87.05,85.48,86.13,4843215.78
1779307200,86.13,86.3,85.5,86.11,1755777.83
1779321600,86.11,87.0,86.04,86.8,2128619.99
1779336000,86.8,87.17,86.14,86.58,2689144.47
1779350400,86.58,87.16,85.52,85.54,3102611.4
1779364800,85.54,86.86,85.26,86.41,4714481.52
1779379200,86.42,88.02,86.0,87.8,5526580.58
1779393600,87.81,87.9,86.96,87.32,1398501.0
1779408000,87.31,87.32,86.53,86.98,1340988.9
1779422400,86.99,87.34,86.45,86.94,1924118.96
1779436800,86.94,87.48,86.67,87.29,2032096.41
1779451200,87.29,87.82,86.21,86.71,3865793.85
1779465600,86.71,87.15,83.91,84.51,6290571.81
1779480000,84.51,85.26,83.92,84.36,2424102.79
1779494400,84.36,84.71,84.01,84.64,1849604.66
1779508800,84.63,84.66,81.36,82.19,5742859.2
1779523200,82.19,82.4,81.63,82.2,3769923.7
1779537600,82.21,84.49,82.07,84.05,5143983.99
1779552000,84.05,85.1,83.87,84.91,3162228.04
1779566400,84.91,87.51,84.72,85.71,5345538.46
1779580800,85.72,86.19,85.56,85.76,1714702.55
1779595200,85.77,86.77,85.53,86.02,2217118.62
1779609600,86.03,87.23,85.96,86.61,2955326.01
1779624000,86.62,86.65,84.38,85.26,3268630.94
1779638400,85.26,85.89,85.13,85.32,2189746.13
1779652800,85.32,85.48,83.62,85.23,3553050.61
1779667200,85.22,85.72,84.72,84.88,1973544.01
1779681600,84.89,86.15,84.86,85.91,2228732.63
1779696000,85.92,86.2,85.66,85.74,1251076.85
1779710400,85.73,86.49,85.62,86.21,1606587.02
1779724800,86.21,86.41,85.46,85.6,1685400.65
1779739200,85.59,85.85,84.64,85.01,2013775.97
1779753600,85.01,85.04,83.78,84.16,3047664.1
1779768000,84.16,84.93,83.95,84.3,1830173.78
1779782400,84.31,85.78,84.25,85.19,2624818.7
1779796800,85.18,86.1,83.96,84.44,5811720.18
1779811200,84.44,84.52,83.08,83.73,4115355.12
1779825600,83.74,83.92,83.47,83.66,1148642.87
1779840000,83.67,84.15,83.42,83.57,1331905.14
1779854400,83.57,84.17,82.68,84.17,2241129.68
1779868800,84.16,84.38,83.56,83.89,1969744.88
1779883200,83.88,84.82,82.91,84.39,6186826.8
1779897600,84.39,84.72,83.11,83.89,3117304.95
1779912000,83.89,84.1,82.05,82.38,3366565.21
1779926400,82.37,82.71,80.45,80.66,4850255.22
1779940800,80.66,81.24,79.91,81.19,3947576.74
1779955200,81.2,81.28,80.54,80.83,1662750.34
1779969600,80.82,81.64,79.92,81.1,5217541.0
1779984000,81.1,82.98,80.88,82.14,3666939.8
1779998400,82.14,82.66,81.72,82.07,1980591.86
1780012800,82.07,82.44,81.43,81.59,1547107.1
1780027200,81.59,82.46,81.33,82.18,1820017.52
1780041600,82.18,82.6,81.47,81.73,1654498.86
1780056000,81.73,83.23,80.3,82.54,7027309.56
1780070400,82.54,83.21,81.53,82.03,3811041.84
1780084800,82.02,82.37,81.58,81.98,1421112.63
1780099200,81.98,83.06,81.89,82.64,1573806.74
1780113600,82.63,82.84,81.79,82.34,1886947.39
1780128000,82.34,82.51,82.14,82.28,724782.87
1780142400,82.28,82.89,82.2,82.65,1464209.35
1780156800,82.65,83.11,82.58,82.94,1260110.27
1780171200,82.95,83.13,82.4,82.69,1163178.95
1780185600,82.69,83.37,82.57,83.18,1301371.81
1780200000,83.18,83.26,82.46,82.61,1015765.57
1780214400,82.62,83.02,82.43,82.71,1214266.51
1780228800,82.71,83.09,81.69,81.83,2654450.24
1780243200,81.83,81.99,81.28,81.54,1674595.74
1780257600,81.55,82.91,81.55,82.39,2108863.13
1780272000,82.4,83.08,81.57,82.59,2831981.04
1780286400,82.59,82.74,80.57,80.67,3151906.65
1780300800,80.67,81.24,80.38,80.78,2317973.59
1780315200,80.78,81.04,79.15,79.56,6426069.07
1780329600,79.57,81.3,79.06,81.16,4266203.92
1780344000,81.16,81.66,80.28,81.25,3147161.12
1780358400,81.25,81.27,79.36,80.88,3045781.86
1780372800,80.88,80.99,79.09,79.63,3429587.28
1780387200,79.63,79.77,78.71,78.89,3019944.27
1780401600,78.89,79.19,75.44,76.32,9089244.85
1780416000,76.33,77.63,74.37,75.47,5988399.65
1780430400,75.47,76.03,72.67,74.18,6841296.78
1780444800,74.18,75.08,72.21,72.66,4544324.35
1780459200,72.66,75.39,72.64,75.21,4210344.73
1780473600,75.21,75.67,74.66,75.09,2729462.89
1780488000,75.09,75.34,73.17,73.24,4740234.66
1780502400,73.25,74.06,71.63,71.94,7519340.4
1780516800,71.94,73.14,70.84,71.58,5710406.32
1780531200,71.57,72.06,66.59,71.42,14300224.49
1780545600,71.41,71.74,69.08,69.1,5381651.61
1780560000,69.11,69.41,67.32,68.63,7851234.37
1780574400,68.63,70.6,68.27,69.61,7433093.48
1780588800,69.61,69.86,68.44,69.05,4215154.07
1780603200,69.04,69.1,67.51,68.82,4102132.73
1780617600,68.81,69.06,66.88,67.05,5905745.3
1780632000,67.05,68.05,63.74,66.11,14066389.14
1780646400,66.12,66.75,65.02,66.04,5155526.38
1780660800,66.03,66.79,63.73,64.2,11904162.27
1780675200,64.2,66.04,61.4,63.38,14160546.44
1780689600,63.39,65.38,62.6,63.6,6898185.41
1780704000,63.6,64.82,62.52,62.79,4040908.77
1780718400,62.79,63.31,60.03,62.75,10146501.62
1780732800,62.75,63.58,61.13,62.4,5242096.2
1780747200,62.4,63.06,61.26,62.01,5082065.42
1780761600,62.01,62.38,61.33,61.59,3745848.37
1780776000,61.59,62.34,61.31,62.16,2955842.31
1780790400,62.16,64.18,61.91,63.77,5826575.84
1780804800,63.77,64.97,63.25,64.87,4482713.5
1780819200,64.86,66.07,64.35,64.97,5339968.99
1780833600,64.96,65.31,63.58,64.93,5282349.22
1780848000,64.93,65.58,63.56,63.89,4083337.95
1780862400,63.88,67.9,63.67,66.45,7148635.51
1780876800,66.46,67.07,65.33,66.3,3810969.41
1780891200,66.31,66.37,64.92,66.06,3384741.47
1780905600,66.06,67.03,65.4,66.65,3641151.72
1780920000,66.65,67.78,65.95,67.14,5718192.84
1780934400,67.15,67.79,66.5,67.44,3526981.75
1780948800,67.44,68.16,66.61,66.79,3170456.01
1780963200,66.78,66.85,65.23,65.97,4439546.43
1780977600,65.97,67.45,65.78,66.85,4448421.75
1780992000,66.86,66.9,65.84,66.07,3190822.56
1781006400,66.07,66.49,64.22,64.29,7920044.95
1781020800,64.28,65.63,63.5,65.38,6688645.28
1781035200,65.38,65.68,64.64,64.92,2057497.2
1781049600,64.93,65.27,64.2,64.48,2573453.63
1781064000,64.47,64.74,63.78,64.45,2311561.68
1781078400,64.46,64.48,62.91,63.47,4393624.55
1781092800,63.47,65.74,63.26,65.4,8641793.51
1781107200,65.41,65.44,63.31,63.52,4766406.49
1781121600,63.51,63.62,62.29,63.16,3758107.14
1781136000,63.16,65.45,63.15,65.23,4700983.05
1781150400,65.23,65.41,64.73,65.02,2458543.34
1781164800,65.01,66.3,64.98,65.85,4200185.18
1781179200,65.85,65.89,64.85,65.51,5215810.2
1781193600,65.51,67.36,65.0,66.88,6034333.42
1781208000,66.88,67.1,66.31,66.88,2283409.34
1781222400,66.87,67.26,66.37,66.99,2158707.05
1781236800,66.98,67.21,65.88,66.28,2862275.89
1781251200,66.29,67.48,66.28,66.89,3360052.76
1781265600,66.89,68.78,66.33,67.2,7336741.51
1781280000,67.19,68.18,66.65,66.74,3848251.2
1781294400,66.75,66.91,66.41,66.79,1799712.48
1781308800,66.79,67.49,66.65,66.84,1536844.31
1781323200,66.83,67.45,66.55,67.34,2312459.65
1781337600,67.33,67.93,67.22,67.87,1652803.08
1781352000,67.87,68.68,67.74,68.55,2757385.93
1781366400,68.56,68.59,67.77,68.19,2600905.2
1781380800,68.18,69.55,68.0,68.88,2693983.51
1781395200,68.88,69.07,68.58,68.9,1635237.0
1781409600,68.91,68.98,67.98,68.18,2327230.13
1781424000,68.19,68.48,67.86,68.06,1559289.56
1781438400,68.06,68.12,66.89,67.39,3293348.8
1781452800,67.38,67.72,67.14,67.52,1858238.48
1781467200,67.53,71.25,67.4,71.24,6901363.12
